Movie Title;Director;Running time;Main Actor;Genre;Budget;Box Office;Release year
Australia;Baz Luhrmann;165;Essie Davis;Adventure;130000000;211000000;2008
Inside Llewyn Davis;Ethan Coen;104;Justin Timberlake;Drama;11000000;13000000;2013
Stuck on You;Bobby Farrelly;118;Matt Damon;Comedy;55000000;33400000;2003
Swimfan;John Polson;85;Erika Christensen;Thriller;8500000;34400000;2002
The Diary of a Teenage Girl;Marielle Heller;102;Alexander Skarsgård;Drama;2000000;1500000;2015
Brooklyn's Finest;Antoine Fuqua;132;Don Cheadle;Crime;17000000;30000000;2009
The Boy in the Striped Pajamas;Mark Herman;94;Richard Johnson;Drama;12500000;44000000;2008
Unknown;Jaume Collet-Serra;113;Liam Neeson;Action;30000000;100000000;2011
16 Blocks;Richard Donner;102;Bruce Willis;Action;52000000;65000000;2006
Another Earth;Mike Cahill;92;Robin Lord Taylor;Drama;100000;1800000;2011
The Boy Next Door;Rob Cohen;91;Ryan Guzman;Thriller;4000000;52000000;2015
Bandslam;Todd Graff;111;Scott Porter;Comedy;20000000;12200000;2009
Shattered;Mike Barker;98;Gerard Butler;Crime;20000000;3800000;2007
Shutter;Masayuki Ochiai;90;James Kyson;Horror;8000000;48000000;2008
Adam Resurrected;Paul Schrader;106;Veronica Ferres;Drama;10000000;300000;2008
Redbelt;David Mamet;99;Alice Braga;Drama;7000000;2700000;2008
Special;Hal Haberman;81;Michael Rapaport;Comedy;1000000;200000;2006
Straw Dogs;Rod Lurie;110;Alexander Skarsgård;Action;25000000;11000000;2011
Transformers;Michael Bay;144;Zack Ward;Action;150000000;710000000;2007
Get Smart;Peter Segal;110;Bill Murray;Action;80000000;230000000;2008
Hostage;Florent-Emilio Siri;113;Jimmy Bennett;Action;52000000;77600000;2005
Monsoon Wedding;Mira Nair;114;Naseeruddin Shah;Comedy;7000000;30000000;2001
J. Edgar;Clint Eastwood;137;Leonardo DiCaprio;Biography;35000000;84000000;2011
The Spirit;Frank Miller;103;Scarlett Johansson;Action;60000000;39000000;2008
And So It Goes;Rob Reiner;94;Yaya DaCosta;Comedy;18000000;25000000;2014
Dawn of the Dead;Zack Snyder;110;Ty Burrell;Action;26000000;102000000;2004
Harry Potter and the Goblet of Fire;Mike Newell;157;Robert Pattinson;Adventure;150000000;896000000;2005
K-19: The Widowmaker;Kathryn Bigelow;138;Liam Neeson;Drama;100000000;66000000;2002
Prom;Joe Nussbaum;104;Cameron Monaghan;Comedy;8000000;10500000;2011
Finding Forrester;Gus Van Sant;136;F. Murray Abraham;Drama;43000000;80000000;2000
Jack Ryan: Shadow Recruit;Kenneth Branagh;105;Colm Feore;Action;60000000;135000000;2014
Pathology;Marc Schölermann;95;John de Lancie;Crime;8000000;3000000;2008
What Happens in Vegas;Tom Vaughan;101;Treat Williams;Comedy;35000000;100000000;2008
Knight and Day;James Mangold;117;Tom Cruise;Action;117000000;262000000;2010
The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;171;Christopher Lee;Action;93000000;887000000;2001
The Pursuit of Happyness;Gabriele Muccino;117;Will Smith;Biography;55000000;307000000;2006
Alone in the Dark;Uwe Boll;94;Catherine Lough Haggquist;Horror;20000000;12000000;2005
Tadpole;Gary Winick;78;Bebe Neuwirth;Comedy;150000;3200000;2000
The Real Cancun;Rick de Oliveira;96;Laura Ramsey;Documentary;8000000;4100000;2003
3 Strikes;DJ Pooh;82;Mo'Nique;Comedy;6000000;9800000;2000
Anomalisa;Duke Johnson;90;Jennifer Jason Leigh;Animation;8000000;5000000;2015
The Internship;Shawn Levy;125;Josh Gad;Comedy;58000000;88000000;2013
The Last Exorcism;Daniel Stamm;87;Caleb Landry Jones;Thriller;1800000;68000000;2010
There Will Be Blood;Paul Thomas Anderson;158;Jim Meskimen;Drama;25000000;76000000;2007
Riddick;David Twohy;127;Vin Diesel;Sci-Fi;38000000;115000000;2013
The Man from Earth;Richard Schenkman;87;William Katt;Drama;200000;780000;2007
Chasing Mavericks;Michael Apted;116;Gerard Butler;Biography;20000000;25000000;2012
Freedom Writers;Richard LaGravenese;123;Hunter Parrish;Biography;21000000;41000000;2007
Once;John Carney;85;Glen Hansard;Drama;180000;47000000;2007
The Musketeer;Peter Hyams;104;Catherine Deneuve;Action;40000000;34000000;2001
She's Out of My League;Jim Field Smith;104;Mike Vogel;Comedy;20000000;32000000;2010
The Debt;John Madden;113;Tom Wilkinson;Thriller;20000000;136000000;2010
The Perfect Wave;Bruce Macdonald;94;Rachel Hendrix;Biography;4000000;2200000;2014
Ponyo;Hayao Miyazaki;101;Rumi Hiiragi;Animation;34000000;204000000;2008
Flash of Genius;Marc Abraham;119;Dylan Authors;Biography;20000000;4200000;2008
Nomad: The Warrior;Sergey Bodrov;112;Jay Hernandez;Drama;25000000;13000000;2005
Source Code;Duncan Jones;93;Jake Gyllenhaal;Mystery;32000000;147000000;2011
The Day After Tomorrow;Roland Emmerich;124;Jake Gyllenhaal;Action;125000000;544000000;2004
Flags of Our Fathers;Clint Eastwood;135;Paul Walker;Drama;90000000;65400000;2006
The Scorpion King;Chuck Russell;100;Dwayne Johnson;Action;60000000;165000000;2002
Baby Mama;Michael McCullers;99;Tina Fey;Comedy;30000000;60000000;2008
Requiem for a Dream;Darren Aronofsky;102;Ellen Burstyn;Drama;4500000;7300000;2000
Whatever Works;Woody Allen;92;Larry David;Comedy;15000000;35000000;2009
Ondine;Neil Jordan;111;Tony Curran;Drama;12000000;12000000;2009
Ripley's Game;Liliana Cavani;110;Ray Winstone;Crime;30000000;2000000;2002
Me and You and Everyone We Know;Miranda July;91;Najarra Townsend;Comedy;2000000;4000000;2005
Return to Never Land;Robin Budd;72;Roger Rees;Animation;20000000;110000000;2002
Short Cut to Nirvana: Kumbh Mela;Maurizio Benazzo;85;The Dalai Lama;Documentary;200000;1000000;2004
X-Men: First Class;Matthew Vaughn;132;Jennifer Lawrence;Action;160000000;354000000;2011
Grabbers;Jon Wright;94;Russell Tovey;Comedy;4000000;440000;2012
Jersey Girl;Kevin Smith;102;Stephen Root;Comedy;35000000;40000000;2004
Kiss of the Dragon;Chris Nahon;98;Jet Li;Action;25000000;64000000;2001
Saving Mr. Banks;John Lee Hancock;125;Tom Hanks;Biography;35000000;83000000;2013
Zodiac;David Fincher;162;Robert Downey Jr.;Crime;65000000;85000000;2007
Hotel Transylvania 2;Genndy Tartakovsky;89;Steve Buscemi;Animation;80000000;474000000;2015
Bullet to the Head;Walter Hill;92;Sylvester Stallone;Action;55000000;48000000;2012
Haywire;Steven Soderbergh;93;Channing Tatum;Action;23000000;34000000;2011
Moneyball;Bennett Miller;133;Philip Seymour Hoffman;Biography;50000000;110000000;2011
Vamps;Amy Heckerling;92;Taylor Negron;Comedy;16000000;1000000;2012
Big Eyes;Tim Burton;106;Christoph Waltz;Biography;10000000;29300000;2014
Inside Out;Pete Docter;95;Amy Poehler;Animation;175000000;858000000;2015
Pooh's Heffalump Movie;Frank Nissen;68;Kath Soucie;Animation;20000000;18000000;2005
Take Shelter;Jeff Nichols;121;Katy Mixon;Thriller;5000000;3000000;2011
Triangle;Christopher Smith;99;Rachael Carpani;Horror;12000000;1500000;2009
Diary of a Wimpy Kid: Dog Days;David Bowers;94;Zachary Gordon;Comedy;22000000;77000000;2012
Final Destination 3;James Wong;86;Chelan Simmons;Horror;25000000;117000000;2006
Joy Ride;John Dahl;97;Paul Walker;Mystery;23000000;22000000;2001
Our Brand Is Crisis;David Gordon Green;107;Dominic Flores;Comedy;28000000;8000000;2015
Over the Hedge;Tim Johnson;83;Bruce Willis;Animation;80000000;336000000;2006
